date,brew_installs_30d
2025-03-25,6529
2025-03-26,6526
2025-03-27,6447
2025-03-28,6420
2025-03-29,6345
2025-03-30,6226
2025-03-31,6174
2025-04-01,6124
2025-04-02,6133
2025-04-03,6111
2025-04-04,6088
2025-04-05,6009
2025-04-06,5848
2025-04-07,5762
2025-04-08,5769
2025-04-09,5800
2025-04-10,5738
2025-04-11,5692
2025-04-12,5616
2025-04-13,5543
2025-04-14,5460
2025-04-15,5403
2025-04-16,5376
2025-04-17,5347
2025-04-18,5316
2025-04-19,5268
2025-04-20,5217
2025-04-21,5200
2025-04-22,5202
2025-04-23,5205
2025-04-24,5184
2025-04-25,5162
2025-04-26,5102
2025-04-27,5025
2025-04-28,4966
2025-04-29,4987
2025-04-30,4971
2025-05-01,4957
