month,db_engines_score
2023-02,96.84
2023-03,95.93
2023-04,96.87
2023-05,97.31
2023-06,96.1
2023-07,98.65
2023-08,100.45
2023-09,99.66
2023-10,102.09
2023-11,100.43
2023-12,99.23
2024-01,97.23
2024-02,95.03
2024-03,93.81
2024-04,93.21
2024-05,91.04
2024-06,90.58
2024-07,86.53
2024-08,83.44
2024-09,84.89
2024-10,82.7
2024-11,83.77
2024-12,85.58
2025-01,89.5
2025-02,94.23
2025-03,94.23
2025-04,94.34
2025-05,93.61
2025-06,94.54
2025-07,95.44
2025-08,93.59
2025-09,91.46
2025-10,87.77
2025-11,87.36
2025-12,87.59
2026-01,87.72
2026-02,86.09
