month,github_repo_readme
2023-12,140000.0
2024-01,140000.0
2024-02,140000.0
2024-03,140000.0
2024-04,140000.0
2024-05,140000.0
2024-06,140000.0
2024-07,140000.0
2024-08,140000.0
2024-09,140000.0
2024-10,140000.0
2024-11,140000.0
2024-12,140000.0
2025-01,140000.0
2025-02,140000.0
2025-03,147692.0
2025-04,152175.0
2025-05,157337.0
2025-06,162835.0
2025-07,168480.0
2025-08,174123.0
2025-09,182576.0
2025-10,190352.0
2025-11,199493.0
2025-12,208854.0
2026-01,217396.0
2026-02,226685.0
2026-03,237752.0
2026-04,245528.0
2026-05,265588.0
2026-06,280935.0
2026-07,289707.0
