month,github_returning_contributors,contributors_current_12m,contributors_prior_12m,new_contributors_12m,retention_rate_pct,prior_window_months
2026-04,20,115,52,95,38.5,12
2026-03,19,112,49,93,38.8,12
2026-02,15,95,42,80,35.7,12
2026-01,8,75,36,67,22.2,12
2025-12,6,67,32,61,18.8,12
2025-11,6,63,32,57,18.8,12
2025-10,6,61,29,55,20.7,12
2025-09,7,64,26,57,26.9,12
2025-08,5,64,22,59,22.7,12
2025-07,4,63,20,59,20.0,12
2025-06,4,56,19,52,21.1,12
2025-05,3,53,19,50,15.8,12
2025-04,2,52,17,50,11.8,12
2025-03,2,49,15,47,13.3,12
2025-02,1,42,15,41,6.7,12
2025-01,2,36,12,34,16.7,12
2024-12,2,32,11,30,18.2,12
2024-11,2,32,8,30,25.0,11
2024-10,1,29,7,28,14.3,10
2024-09,1,26,7,25,14.3,9
2024-08,1,22,7,21,14.3,8
2024-07,1,20,7,19,14.3,7
2024-06,0,19,6,19,0.0,6
2024-05,0,19,5,19,0.0,5
2024-04,0,17,5,17,0.0,4
2024-03,1,15,4,14,25.0,3
2024-02,3,15,3,12,100.0,2
2024-01,1,12,1,11,100.0,1
