month,mariadborg_downloads
2025-09,93954
2025-08,99496
2025-07,82392
2025-06,88470
2025-05,92233
2025-04,94066
2025-03,107629
2025-02,116526
2025-01,82015
2024-12,78550
2024-11,101014
2024-10,90238
2024-09,85491
2024-08,91304
2024-07,72452
2024-06,69828
2024-05,75840
2024-04,74552
2024-03,79039
2024-02,70451
2024-01,71617
2023-12,63395
2023-11,75758
2023-10,71381
2023-09,69529
2023-08,62508
2023-07,60040
2023-06,64298
2023-05,69018
2023-04,62907
2023-03,74516
2023-02,70482
2023-01,70480
2022-12,60054
2022-11,70808
2022-10,66507
2022-09,67071
2022-08,53396
2022-07,42725
2022-06,57137
2022-05,63006
2022-04,63110
2022-03,72956
2022-02,58931
2022-01,58269
2021-12,56456
2021-11,67089
2021-10,57415
2021-09,44485
2021-08,39724
2021-07,26291
