date,youtube_subscribers_plc
2025-03-17,"3270"
2025-03-18,"3270"
2025-03-19,"3270"
2025-03-20,"3270"
2025-03-21,"3280"
2025-03-22,"3280"
2025-03-23,"3280"
2025-03-24,"3280"
2025-03-25,"3280"
2025-03-26,"3280"
2025-03-27,"3290"
2025-03-28,"3290"
2025-03-29,"3290"
2025-03-30,"3300"
2025-03-31,"3300"
2025-04-01,"3300"
2025-04-02,"3300"
2025-04-03,"3300"
2025-04-04,"3310"
2025-04-05,"3310"
2025-04-06,"3310"
2025-04-07,"3310"
2025-04-08,"3320"
2025-04-09,"3320"
2025-04-10,"3320"
2025-04-11,"3320"
2025-04-12,"3320"
2025-04-13,"3320"
2025-04-14,"3320"
2025-04-15,"3320"
2025-04-16,"3330"
2025-04-17,"3330"
2025-04-18,"3330"
2025-04-19,"3330"
2025-04-20,"3330"
2025-04-21,"3330"
2025-04-22,"3340"
2025-04-23,"3340"
2025-04-24,"3340"
2025-04-25,"3350"
2025-04-26,"3350"
2025-04-27,"3350"
2025-04-28,"3350"
2025-04-29,"3360"
2025-04-30,"3360"
2025-05-01,"3360"
