date,zulip_total_users
2025-03-14,2026
2025-03-15,2028
2025-03-16,2028
2025-03-17,2030
2025-03-18,2031
2025-03-19,2032
2025-03-20,2035
2025-03-21,2038
2025-03-22,2039
2025-03-23,2041
2025-03-24,2042
2025-03-25,2047
2025-03-26,2050
2025-03-27,2053
2025-03-28,2053
2025-03-29,2055
2025-03-30,2057
2025-03-31,2059
2025-04-01,2060
2025-04-02,2061
2025-04-03,2065
2025-04-04,2067
2025-04-05,2068
2025-04-06,2070
2025-04-07,2074
2025-04-08,2079
2025-04-09,2081
2025-04-10,2081
2025-04-11,2082
2025-04-12,2084
2025-04-13,2084
2025-04-14,2084
2025-04-15,2084
2025-04-16,2084
2025-04-17,2084
2025-04-18,2084
2025-04-19,2085
2025-04-20,2085
2025-04-21,2085
2025-04-22,2085
2025-04-23,2085
2025-04-24,2085
2025-04-25,2085
2025-04-26,2085
2025-04-27,2085
2025-04-28,2085
2025-04-29,2085
2025-04-30,2085
2025-05-01,2085
2025-05-02,2086
2025-05-03,2086
2025-05-04,2086
2025-05-05,2086
2025-05-06,2087
2025-05-07,2087
2025-05-08,2087
2025-05-09,2087
2025-05-10,2087
2025-05-11,2087
2025-05-12,2088
2025-05-13,2089
2025-05-15,2091
2025-05-16,2093
2025-05-17,2094
2025-05-18,2094
2025-05-19,2094
2025-05-20,2094
2025-05-21,2094
2025-05-22,2094
2025-05-23,2094
2025-05-24,2094
2025-05-25,2094
2025-05-27,2095
2025-05-28,2096
2025-05-29,2096
2025-05-30,2096
2025-05-31,2096
2025-06-01,2096
2025-06-02,2096
2025-06-03,2097
2025-06-04,2097
2025-06-05,2097
2025-06-06,2097
2025-06-07,2098
2025-06-08,2098
2025-06-09,2098
2025-06-10,2098
2025-06-11,2099
2025-06-12,2099
2025-06-13,2099
2025-06-14,2100
2025-06-15,2100
2025-06-16,2100
2025-06-17,2100
2025-06-18,2100
2025-06-19,2100
2025-06-20,2100
2025-06-21,2100
2025-06-22,2100
2025-06-23,2100
2025-06-24,2100
2025-06-25,2100
2025-06-26,2100
2025-06-27,2100
2025-06-28,2100
2025-06-29,2100
2025-06-30,2100
2025-07-01,2101
2025-07-02,2101
2025-07-03,2101
2025-07-04,2101
2025-07-05,2102
2025-07-06,2102
2025-07-07,2102
2025-07-08,2102
2025-07-09,2102
2025-07-10,2103
2025-07-11,2104
2025-07-12,2105
2025-07-13,2105
2025-07-14,2105
2025-07-15,2105
2025-07-16,2105
2025-07-17,2105
2025-07-18,2105
2025-07-19,2105
2025-07-20,2105
2025-07-21,2106
2025-07-22,2107
2025-07-23,2107
2025-07-24,2108
2025-07-25,2108
2025-07-26,2109
2025-07-27,2109
2025-07-28,2109
2025-07-30,2109
2025-07-31,2109
2025-08-01,2109
2025-08-02,2109
2025-08-04,2109
2025-08-05,2110
2025-08-06,2110
2025-08-07,2110
2025-08-08,2111
2025-08-09,2111
2025-08-10,2111
2025-08-11,2111
2025-08-12,2111
2025-08-13,2112
2025-08-14,2112
2025-08-15,2112
2025-08-16,2113
2025-08-17,2113
2025-08-18,2113
2025-08-19,2113
2025-08-20,2113
2025-08-21,2113
2025-08-22,2113
2025-08-23,2113
2025-08-24,2114
2025-08-25,2114
2025-08-26,2115
2025-08-27,2115
2025-08-28,2115
2025-08-29,2115
2025-08-30,2115
2025-08-31,2115
2025-09-01,2116
2025-09-02,2116
2025-09-03,2116
2025-09-04,2116
2025-09-05,2116
2025-09-06,2117
2025-09-07,2117
2025-09-08,2117
2025-09-09,2117
2025-09-10,2117
2025-09-11,2118
