month,zulip_total_users
2023-02,1544
2023-03,1621
2023-04,1632
2023-05,1646
2023-06,1655
2023-07,1662
2023-08,1675
2023-09,1694
2023-10,1697
2023-11,1718
2023-12,1733
2024-01,1750
2024-02,1776
2024-03,1809
2024-04,1825
2024-05,1834
2024-06,1843
2024-07,1852
2024-08,1860
2024-09,1873
2024-10,1884
2024-11,1894
2024-12,1907
2025-01,1925
2025-02,1955
2025-03,2059
2025-04,2085
2025-05,2096
2025-06,2100
2025-07,2109
2025-08,2115
2025-09,2121
2025-10,2128
2025-11,2146
2025-12,2165
2026-01,2187
2026-02,2188
